Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,11261
design__instance__area,142381
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.00007133866165531799
power__switching__total,0.000011186419214936905
power__leakage__total,0.00003713415208039805
power__total,0.00011965923476964235
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.10960878348529882
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.10060062095885747
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.4044186766607466
timing__setup__ws__corner:nom_fast_1p32V_m40C,15.033374082220233
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.404419
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,Infinity
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_fast_1p65V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p65V_m40C,0
design__max_cap_violation__count__corner:nom_fast_1p65V_m40C,0
clock__skew__worst_hold__corner:nom_fast_1p65V_m40C,-0.10949801097988399
clock__skew__worst_setup__corner:nom_fast_1p65V_m40C,0.10060431245051875
timing__hold__ws__corner:nom_fast_1p65V_m40C,0.27710601264610674
timing__setup__ws__corner:nom_fast_1p65V_m40C,15.260868556362528
timing__hold__tns__corner:nom_fast_1p65V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p65V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p65V_m40C,0
timing__setup__wns__corner:nom_fast_1p65V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p65V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p65V_m40C,0.277106
timing__hold_r2r_vio__count__corner:nom_fast_1p65V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p65V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p65V_m40C,Infinity
timing__setup_r2r_vio__count__corner:nom_fast_1p65V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,0
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.1156619693869315
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.10119012858492413
timing__hold__ws__corner:nom_slow_1p08V_125C,1.0983226861091888
timing__setup__ws__corner:nom_slow_1p08V_125C,13.818692359300599
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,1.098323
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,Infinity
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_slow_1p35V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p35V_125C,0
design__max_cap_violation__count__corner:nom_slow_1p35V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p35V_125C,-0.11545643934368498
clock__skew__worst_setup__corner:nom_slow_1p35V_125C,0.10105477851660655
timing__hold__ws__corner:nom_slow_1p35V_125C,0.7063221318858394
timing__setup__ws__corner:nom_slow_1p35V_125C,14.51004868439123
timing__hold__tns__corner:nom_slow_1p35V_125C,0.0
timing__setup__tns__corner:nom_slow_1p35V_125C,0.0
timing__hold__wns__corner:nom_slow_1p35V_125C,0
timing__setup__wns__corner:nom_slow_1p35V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p35V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p35V_125C,0.706322
timing__hold_r2r_vio__count__corner:nom_slow_1p35V_125C,0
timing__setup_vio__count__corner:nom_slow_1p35V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p35V_125C,Infinity
timing__setup_r2r_vio__count__corner:nom_slow_1p35V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,0
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.1123964980678233
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.10082267250895645
timing__hold__ws__corner:nom_typ_1p20V_25C,0.6526516178892018
timing__setup__ws__corner:nom_typ_1p20V_25C,14.591848142802219
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.652652
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,Infinity
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count__corner:nom_typ_1p50V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p50V_25C,0
design__max_cap_violation__count__corner:nom_typ_1p50V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p50V_25C,-0.11161065443319283
clock__skew__worst_setup__corner:nom_typ_1p50V_25C,0.10075493502475076
timing__hold__ws__corner:nom_typ_1p50V_25C,0.43033805514899803
timing__setup__ws__corner:nom_typ_1p50V_25C,14.989350629424308
timing__hold__tns__corner:nom_typ_1p50V_25C,0.0
timing__setup__tns__corner:nom_typ_1p50V_25C,0.0
timing__hold__wns__corner:nom_typ_1p50V_25C,0
timing__setup__wns__corner:nom_typ_1p50V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p50V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p50V_25C,0.430338
timing__hold_r2r_vio__count__corner:nom_typ_1p50V_25C,0
timing__setup_vio__count__corner:nom_typ_1p50V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p50V_25C,Infinity
