 time            v(vin)          v(vout)        
 0.00000000e+00  7.50000000e-01  5.37180461e-01 
 1.00000000e-08  7.50000628e-01  5.37176933e-01 
 2.00000000e-08  7.50001257e-01  5.37170391e-01 
 4.00000000e-08  7.50002513e-01  5.37151369e-01 
 8.00000000e-08  7.50005027e-01  5.37093468e-01 
 1.60000000e-07  7.50010053e-01  5.36936892e-01 
 3.20000000e-07  7.50020106e-01  5.36575684e-01 
 6.40000000e-07  7.50040212e-01  5.35831733e-01 
 1.28000000e-06  7.50080424e-01  5.34353777e-01 
 1.40500000e-06  7.50088278e-01  5.34066485e-01 
 1.65500000e-06  7.50103985e-01  5.33492417e-01 
 2.15500000e-06  7.50135399e-01  5.32346828e-01 
 3.15500000e-06  7.50198222e-01  5.30066001e-01 
 4.15500000e-06  7.50261037e-01  5.27799117e-01 
 5.15500000e-06  7.50323842e-01  5.25546381e-01 
 5.28000000e-06  7.50331691e-01  5.25265825e-01 
 5.53000000e-06  7.50347390e-01  5.24705307e-01 
 6.03000000e-06  7.50378785e-01  5.23587005e-01 
 7.03000000e-06  7.50441564e-01  5.21361358e-01 
 8.03000000e-06  7.50504326e-01  5.19150450e-01 
 9.03000000e-06  7.50567067e-01  5.16954475e-01 
 1.00300000e-05  7.50629786e-01  5.14773628e-01 
 1.10300000e-05  7.50692481e-01  5.12608098e-01 
 1.20300000e-05  7.50755148e-01  5.10458070e-01 
 1.30300000e-05  7.50817785e-01  5.08323725e-01 
 1.40300000e-05  7.50880390e-01  5.06205238e-01 
 1.50300000e-05  7.50942960e-01  5.04102779e-01 
 1.60300000e-05  7.51005493e-01  5.02016514e-01 
 1.70300000e-05  7.51067986e-01  4.99946602e-01 
 1.80300000e-05  7.51130437e-01  4.97893198e-01 
 1.90300000e-05  7.51192843e-01  4.95856449e-01 
 2.00300000e-05  7.51255202e-01  4.93836497e-01 
 2.10300000e-05  7.51317512e-01  4.91833478e-01 
 2.20300000e-05  7.51379770e-01  4.89847522e-01 
 2.30300000e-05  7.51441973e-01  4.87878749e-01 
 2.40300000e-05  7.51504119e-01  4.85927277e-01 
 2.50300000e-05  7.51566206e-01  4.83993212e-01 
 2.51550000e-05  7.51573963e-01  4.83752719e-01 
 2.54050000e-05  7.51589473e-01  4.83272461e-01 
 2.54675000e-05  7.51593350e-01  4.83152579e-01 
 2.54677441e-05  7.51593365e-01  4.83152110e-01 
 2.54682324e-05  7.51593396e-01  4.83151174e-01 
 2.54692090e-05  7.51593456e-01  4.83149301e-01 
 2.54711621e-05  7.51593577e-01  4.83145554e-01 
 2.54750684e-05  7.51593820e-01  4.83138062e-01 
 2.54828809e-05  7.51594304e-01  4.83123079e-01 
 2.54985059e-05  7.51595273e-01  4.83093118e-01 
 2.55297559e-05  7.51597212e-01  4.83033211e-01 
 2.55922559e-05  7.51601088e-01  4.82913455e-01 
 2.57172559e-05  7.51608840e-01  4.82674157e-01 
 2.59672559e-05  7.51624342e-01  4.82196390e-01 
 2.64672559e-05  7.51655332e-01  4.81244155e-01 
 2.74672559e-05  7.51717264e-01  4.79352926e-01 
 2.84672559e-05  7.51779128e-01  4.77479420e-01 
 2.94672559e-05  7.51840922e-01  4.75623711e-01 
 3.04672559e-05  7.51902644e-01  4.73785866e-01 
 3.14672559e-05  7.51964290e-01  4.71965944e-01 
 3.24672559e-05  7.52025858e-01  4.70163996e-01 
 3.34672559e-05  7.52087347e-01  4.68380063e-01 
 3.44672559e-05  7.52148753e-01  4.66614181e-01 
 3.54672559e-05  7.52210074e-01  4.64866374e-01 
 3.64672559e-05  7.52271309e-01  4.63136661e-01 
 3.74672559e-05  7.52332453e-01  4.61425050e-01 
 3.84672559e-05  7.52393505e-01  4.59731544e-01 
 3.94672559e-05  7.52454463e-01  4.58056135e-01 
 4.04672559e-05  7.52515324e-01  4.56398808e-01 
