time_ms,vin,vout1,vout2,vout3,vout4
0.000000000000000000e+00,7.500000000000000000e-01,5.438540259999999904e-01,5.439276870000000486e-01,5.439291849999999817e-01,5.438532480000000113e-01
1.000000000000000082e-05,7.500006280000000025e-01,5.438505059999999558e-01,5.439241670000000139e-01,5.439256649999999471e-01,5.438497289999999484e-01
2.000000000000000164e-05,7.500012569999999767e-01,5.438439710000000371e-01,5.439176319999999842e-01,5.439191300000000284e-01,5.438431940000000298e-01
4.000000000000000327e-05,7.500025129999999818e-01,5.438249379999999800e-01,5.438985969999999837e-01,5.439000959999999996e-01,5.438241600000000009e-01
8.000000000000000654e-05,7.500050270000000463e-01,5.437668119999999883e-01,5.438404660000000224e-01,5.438419639999999555e-01,5.437660340000000092e-01
1.600000000000000131e-04,7.500100530000000099e-01,5.436089299999999902e-01,5.436825659999999782e-01,5.436840640000000224e-01,5.436081529999999828e-01
3.200000000000000262e-04,7.500201060000000197e-01,5.432432259999999680e-01,5.433168040000000421e-01,5.433183010000000035e-01,5.432424489999999606e-01
6.400000000000000524e-04,7.500402120000000394e-01,5.424884850000000203e-01,5.425619310000000528e-01,5.425634240000000164e-01,5.424877099999999563e-01
1.280000000000000105e-03,7.500804239999999679e-01,5.409886360000000227e-01,5.410618130000000026e-01,5.410633009999999965e-01,5.409878630000000133e-01
2.280000000000000342e-03,7.501432519999999826e-01,5.386615350000000246e-01,5.387342929999999752e-01,5.387357720000000016e-01,5.386607669999999848e-01
3.279999999999999930e-03,7.502060739999999450e-01,5.363482099999999919e-01,5.364205440000000547e-01,5.364220149999999743e-01,5.363474459999999500e-01
4.279999999999999950e-03,7.502688880000000227e-01,5.340484049999999483e-01,5.341203119999999860e-01,5.341217750000000208e-01,5.340476459999999870e-01
5.279999999999999971e-03,7.503316909999999673e-01,5.317624509999999693e-01,5.318339279999999558e-01,5.318353820000000232e-01,5.317616969999999776e-01
6.279999999999999992e-03,7.503944820000000293e-01,5.294905850000000136e-01,5.295616279999999509e-01,5.295630730000000508e-01,5.294898340000000481e-01
7.280000000000000013e-03,7.504572560000000170e-01,5.272330130000000281e-01,5.273036180000000295e-01,5.273050540000000508e-01,5.272322670000000322e-01
8.280000000000000901e-03,7.505200130000000414e-01,5.249899390000000166e-01,5.250601029999999447e-01,5.250615299999999985e-01,5.249891979999999903e-01
9.280000000000000054e-03,7.505827489999999935e-01,5.227615650000000391e-01,5.228312849999999790e-01,5.228327029999999542e-01,5.227608289999999824e-01
1.027999999999999921e-02,7.506454620000000411e-01,5.205480900000000188e-01,5.206173610000000007e-01,5.206187700000000085e-01,5.205473579999999600e-01
1.128000000000000010e-02,7.507081500000000185e-01,5.183497070000000484e-01,5.184185260000000461e-01,5.184199259999999754e-01,5.183489799999999592e-01
1.227999999999999925e-02,7.507708100000000107e-01,5.161666059999999723e-01,5.162349710000000425e-01,5.162363620000000042e-01,5.161658839999999637e-01
1.328000000000000014e-02,7.508334389999999914e-01,5.139989750000000246e-01,5.140668819999999473e-01,5.140682629999999698e-01,5.139982570000000139e-01
1.428000000000000103e-02,7.508960350000000172e-01,5.118469939999999996e-01,5.119144399999999706e-01,5.119158120000000256e-01,5.118462809999999585e-01
1.528000000000000018e-02,7.509585970000000055e-01,5.097108409999999701e-01,5.097778229999999633e-01,5.097791849999999680e-01,5.097101330000000097e-01
1.627999999999999933e-02,7.510211199999999865e-01,5.075906879999999566e-01,5.076572029999999458e-01,5.076585559999999830e-01,5.075899849999999658e-01
1.728000000000000022e-02,7.510836029999999885e-01,5.054867020000000100e-01,5.055527469999999690e-01,5.055540910000000387e-01,5.054860039999999888e-01
1.828000000000000111e-02,7.511460429999999855e-01,5.033990459999999612e-01,5.034646189999999466e-01,5.034659529999999661e-01,5.033983530000000206e-01
1.927999999999999853e-02,7.512084369999999511e-01,5.013278770000000328e-01,5.013929740000000468e-01,5.013942980000000160e-01,5.013271879999999792e-01
2.027999999999999942e-02,7.512707849999999965e-01,4.992733440000000078e-01,4.993379640000000230e-01,4.993392779999999975e-01,4.992726610000000065e-01
2.128000000000000030e-02,7.513330820000000410e-01,4.972355929999999757e-01,4.972997330000000216e-01,4.973010379999999730e-01,4.972349149999999995e-01
2.228000000000000119e-02,7.513953260000000300e-01,4.952147639999999740e-01,4.952784210000000242e-01,4.952797159999999810e-01,4.952140910000000229e-01
2.328000000000000208e-02,7.514575150000000203e-01,4.932109869999999896e-01,4.932741600000000171e-01,4.932754449999999791e-01,4.932103190000000081e-01
2.428000000000000297e-02,7.515196469999999573e-01,4.912243900000000107e-01,4.912870770000000165e-01,4.912883519999999837e-01,4.912237280000000261e-01
2.527999999999999692e-02,7.515817190000000370e-01,4.892550920000000025e-01,4.893172909999999876e-01,4.893185560000000156e-01,4.892544340000000158e-01
2.627999999999999781e-02,7.516437280000000110e-01,4.873032050000000170e-01,4.873649130000000107e-01,4.873661690000000157e-01,4.873025519999999999e-01
2.727999999999999869e-02,7.517056720000000469e-01,4.853688329999999995e-01,4.854300509999999735e-01,4.854312960000000121e-01,4.853681859999999793e-01
2.827999999999999958e-02,7.517675489999999794e-01,4.834520760000000084e-01,4.835128009999999921e-01,4.835140359999999804e-01,4.834514340000000132e-01
2.928000000000000047e-02,7.518293560000000042e-01,4.815530230000000245e-01,4.816132539999999906e-01,4.816144789999999842e-01,4.815523859999999989e-01
3.028000000000000136e-02,7.518910920000000386e-01,4.796717580000000036e-01,4.797314939999999805e-01,4.797327089999999794e-01,4.796711260000000032e-01
3.127999999999999531e-02,7.519527520000000020e-01,4.778083550000000179e-01,4.778675949999999784e-01,4.778687999999999825e-01,4.778077279999999871e-01
3.228000000000000314e-02,7.520143350000000337e-01,4.759628810000000043e-01,4.760216259999999755e-01,4.760228209999999849e-01,4.759622600000000259e-01
3.327999999999999708e-02,7.520758389999999682e-01,4.741353970000000140e-01,4.741936449999999970e-01,4.741948300000000116e-01,4.741347810000000051e-01
3.427999999999999797e-02,7.521372610000000014e-01,4.723259539999999923e-01,4.723837049999999871e-01,4.723848789999999798e-01,4.723253419999999814e-01
3.527999999999999886e-02,7.521985979999999961e-01,4.705345939999999727e-01,4.705918479999999793e-01,4.705930119999999772e-01,4.705339880000000141e-01
3.627999999999999975e-02,7.522598489999999805e-01,4.687613529999999917e-01,4.688181100000000101e-01,4.688192649999999850e-01,4.687607520000000028e-01
3.728000000000000064e-02,7.523210099999999567e-01,4.670062580000000074e-01,4.670625190000000093e-01,4.670636630000000178e-01,4.670056630000000153e-01
3.828000000000000153e-02,7.523820799999999531e-01,4.652693279999999820e-01,4.653250930000000229e-01,4.653262269999999812e-01,4.652687369999999878e-01
3.927999999999999547e-02,7.524430560000000545e-01,4.635505719999999941e-01,4.636058419999999902e-01,4.636069660000000092e-01,4.635499869999999967e-01
4.028000000000000330e-02,7.525039350000000127e-01,4.618499950000000132e-01,4.619047700000000201e-01,4.619058839999999888e-01,4.618494149999999854e-01
4.127999999999999725e-02,7.525647159999999669e-01,4.601675889999999880e-01,4.602218719999999763e-01,4.602229760000000058e-01,4.601670150000000126e-01
4.228000000000000508e-02,7.526253950000000303e-01,4.585033419999999804e-01,4.585571319999999784e-01,4.585582260000000132e-01,4.585027720000000029e-01
4.327999999999999903e-02,7.526859700000000375e-01,4.568572300000000030e-01,4.569105310000000086e-01,4.569116149999999932e-01,4.568566660000000224e-01
4.427999999999999992e-02,7.527464400000000166e-01,4.552292259999999868e-01,4.552820380000000000e-01,4.552831119999999898e-01,4.552286669999999758e-01
4.528000000000000080e-02,7.528068009999999699e-01,4.536192909999999801e-01,4.536716159999999998e-01,4.536726799999999948e-01,4.536187369999999941e-01
4.627999999999999475e-02,7.528670509999999538e-01,4.520273799999999786e-01,4.520792200000000038e-01,4.520802740000000042e-01,4.520268310000000178e-01
4.728000000000000258e-02,7.529271889999999967e-01,4.504534410000000100e-01,4.505047979999999841e-01,4.505058430000000169e-01,4.504528970000000188e-01
4.827999999999999653e-02,7.529872100000000179e-01,4.488974130000000229e-01,4.489482909999999993e-01,4.489493259999999819e-01,4.488968749999999730e-01
4.928000000000000436e-02,7.530471140000000174e-01,4.473592310000000238e-01,4.474096320000000016e-01,4.474106560000000177e-01,4.473586970000000274e-01
5.027999999999999831e-02,7.531068969999999974e-01,4.458388200000000245e-01,4.458887460000000025e-01,4.458897609999999956e-01,4.458382909999999977e-01
5.127999999999999919e-02,7.531665579999999860e-01,4.443360989999999844e-01,4.443855529999999887e-01,4.443865579999999871e-01,4.443355749999999826e-01
5.228000000000000008e-02,7.532260929999999854e-01,4.428509809999999769e-01,4.428999659999999783e-01,4.429009620000000091e-01,4.428504620000000003e-01
5.328000000000000097e-02,7.532855019999999957e-01,4.413833730000000233e-01,4.414318930000000196e-01,4.414328790000000002e-01,4.413828590000000163e-01
5.428000000000000186e-02,7.533447800000000472e-01,4.399331739999999824e-01,4.399812330000000271e-01,4.399822099999999847e-01,4.399326650000000005e-01
5.527999999999999581e-02,7.534039270000000288e-01,4.385002809999999918e-01,4.385478809999999728e-01,4.385488479999999911e-01,4.384997769999999795e-01
5.628000000000000363e-02,7.534629390000000537e-01,4.370845810000000276e-01,4.371317270000000255e-01,4.371326850000000208e-01,4.370840819999999849e-01
5.727999999999999758e-02,7.535218139999999565e-01,4.356859599999999832e-01,4.357326539999999970e-01,4.357336030000000249e-01,4.356854649999999940e-01
5.827999999999999847e-02,7.535805509999999874e-01,4.343042939999999796e-01,4.343505420000000061e-01,4.343514820000000110e-01,4.343038040000000155e-01
