time_ms,vin,vout1,vout2,vout3,vout4
0.000000000000000000e+00,7.500000000000000000e-01,5.371804869999999843e-01,5.371804869999999843e-01,5.371804869999999843e-01,5.371804869999999843e-01
1.000000000000000082e-05,7.500006280000000025e-01,5.371769410000000189e-01,5.371769410000000189e-01,5.371769410000000189e-01,5.371769410000000189e-01
2.000000000000000164e-05,7.500012569999999767e-01,5.371703709999999798e-01,5.371703709999999798e-01,5.371703709999999798e-01,5.371703709999999798e-01
4.000000000000000327e-05,7.500025129999999818e-01,5.371512769999999826e-01,5.371512769999999826e-01,5.371512769999999826e-01,5.371512769999999826e-01
8.000000000000000654e-05,7.500050270000000463e-01,5.370932120000000420e-01,5.370932120000000420e-01,5.370932120000000420e-01,5.370932120000000420e-01
1.600000000000000131e-04,7.500100530000000099e-01,5.369363689999999689e-01,5.369363689999999689e-01,5.369363689999999689e-01,5.369363689999999689e-01
3.200000000000000262e-04,7.500201060000000197e-01,5.365749749999999541e-01,5.365749749999999541e-01,5.365749749999999541e-01,5.365749749999999541e-01
6.400000000000000524e-04,7.500402120000000394e-01,5.358310240000000446e-01,5.358310240000000446e-01,5.358310240000000446e-01,5.358310240000000446e-01
1.280000000000000105e-03,7.500804239999999679e-01,5.343531249999999844e-01,5.343531249999999844e-01,5.343531249999999844e-01,5.343531249999999844e-01
2.280000000000000342e-03,7.501432519999999826e-01,5.320601700000000545e-01,5.320601700000000545e-01,5.320601700000000545e-01,5.320601700000000545e-01
3.279999999999999930e-03,7.502060739999999450e-01,5.297812309999999636e-01,5.297812309999999636e-01,5.297812309999999636e-01,5.297812309999999636e-01
4.279999999999999950e-03,7.502688880000000227e-01,5.275161269999999458e-01,5.275161269999999458e-01,5.275161269999999458e-01,5.275161269999999458e-01
5.279999999999999971e-03,7.503316909999999673e-01,5.252651809999999699e-01,5.252651809999999699e-01,5.252651809999999699e-01,5.252651809999999699e-01
6.279999999999999992e-03,7.503944820000000293e-01,5.230286189999999724e-01,5.230286189999999724e-01,5.230286189999999724e-01,5.230286189999999724e-01
7.280000000000000013e-03,7.504572560000000170e-01,5.208066449999999570e-01,5.208066449999999570e-01,5.208066449999999570e-01,5.208066449999999570e-01
8.280000000000000901e-03,7.505200130000000414e-01,5.185994579999999576e-01,5.185994579999999576e-01,5.185994579999999576e-01,5.185994579999999576e-01
9.280000000000000054e-03,7.505827489999999935e-01,5.164072539999999822e-01,5.164072539999999822e-01,5.164072539999999822e-01,5.164072539999999822e-01
