Adc_cl_dB_arr,fcu_arr,CMRR_dc_dB_arr
-5.749579999999999691e-01,4.136160000000000000e+05,3.957699999999999818e+01
-5.232369999999999521e-01,4.355710000000000000e+05,4.863889999999999958e+01
-5.745460000000000012e-01,4.658750000000000000e+05,4.175450000000000017e+01
-5.434189999999999854e-01,3.997540000000000000e+05,4.459790000000000276e+01
-5.492289999999999672e-01,4.479680000000000000e+05,4.504160000000000252e+01
-5.485700000000000021e-01,3.740660000000000000e+05,6.358870000000000289e+01
-5.035509999999999708e-01,3.986640000000000000e+05,4.526709999999999923e+01
-4.976610000000000200e-01,3.839920000000000000e+05,4.856909999999999883e+01
-6.104699999999999571e-01,3.539020000000000000e+05,3.887239999999999895e+01
-5.101179999999999604e-01,3.873130000000000000e+05,4.772570000000000334e+01
-5.798940000000000206e-01,3.825870000000000000e+05,4.345120000000000005e+01
-5.370479999999999698e-01,3.949190000000000000e+05,6.160549999999999926e+01
-6.101269999999999749e-01,4.113920000000000000e+05,3.908370000000000033e+01
-5.233740000000000059e-01,4.101990000000000000e+05,4.666879999999999740e+01
-5.401439999999999575e-01,4.683830000000000000e+05,5.671379999999999910e+01
-5.419920000000000293e-01,3.966020000000000000e+05,5.231049999999999756e+01
-5.280690000000000106e-01,4.759060000000000000e+05,5.687969999999999970e+01
-5.527339999999999476e-01,3.817440000000000000e+05,4.316969999999999885e+01
-4.987920000000000131e-01,4.335430000000000000e+05,4.010940000000000083e+01
-5.824030000000000040e-01,4.256550000000000000e+05,4.148190000000000310e+01
-6.124859999999999749e-01,4.321420000000000000e+05,3.796840000000000259e+01
-5.688919999999999533e-01,4.377450000000000000e+05,4.151350000000000051e+01
-5.598060000000000258e-01,3.884520000000000000e+05,4.632849999999999824e+01
-5.465649999999999675e-01,4.473740000000000000e+05,4.323380000000000223e+01
-5.474599999999999467e-01,4.333940000000000000e+05,6.307589999999999719e+01
-5.537870000000000292e-01,4.064550000000000000e+05,5.406029999999999802e+01
-5.275689999999999547e-01,4.070150000000000000e+05,4.843390000000000128e+01
-5.718269999999999742e-01,4.206440000000000000e+05,4.224849999999999994e+01
-5.470519999999999827e-01,4.176180000000000000e+05,5.177600000000000335e+01
-5.397410000000000263e-01,3.936330000000000000e+05,5.384029999999999916e+01
-5.771929999999999561e-01,4.760590000000000000e+05,4.284680000000000177e+01
-5.445389999999999953e-01,4.681740000000000000e+05,5.571699999999999875e+01
-5.156180000000000208e-01,4.598670000000000000e+05,5.369180000000000064e+01
-5.210559999999999636e-01,3.466580000000000000e+05,4.819579999999999842e+01
-5.064689999999999470e-01,3.968400000000000000e+05,4.832359999999999900e+01
-5.220259999999999900e-01,4.229450000000000000e+05,4.436809999999999832e+01
-5.623420000000000085e-01,4.052720000000000000e+05,5.237149999999999750e+01
-5.803120000000000500e-01,4.024240000000000000e+05,4.387749999999999773e+01
-5.319380000000000219e-01,4.948740000000000000e+05,4.465299999999999869e+01
-5.628239999999999910e-01,4.412180000000000000e+05,4.581779999999999831e+01
-5.221609999999999863e-01,4.198160000000000000e+05,5.938170000000000215e+01
-5.307749999999999968e-01,4.017980000000000000e+05,5.788219999999999743e+01
-5.262259999999999716e-01,3.635680000000000000e+05,5.314650000000000318e+01
-5.859069999999999556e-01,3.898320000000000000e+05,4.636710000000000065e+01
-5.470420000000000282e-01,3.712400000000000000e+05,5.685880000000000223e+01
-5.237659999999999538e-01,4.499180000000000000e+05,3.636580000000000013e+01
-5.705980000000000496e-01,3.975630000000000000e+05,4.293299999999999983e+01
-5.313409999999999522e-01,3.926780000000000000e+05,5.359579999999999700e+01
-5.576550000000000118e-01,4.498940000000000000e+05,4.214489999999999981e+01
-5.614820000000000366e-01,3.859130000000000000e+05,4.084290000000000020e+01
-5.462350000000000261e-01,4.050320000000000000e+05,4.472399999999999665e+01
-5.426079999999999792e-01,3.875380000000000000e+05,4.076149999999999807e+01
-5.501800000000000024e-01,3.630420000000000000e+05,4.742990000000000350e+01
-5.315260000000000540e-01,4.487560000000000000e+05,4.950919999999999987e+01
-5.765240000000000364e-01,3.788640000000000000e+05,4.227109999999999701e+01
-5.727379999999999693e-01,4.315960000000000000e+05,4.249309999999999832e+01
