 time            v(clock)        v(reset_n)      v(vout_RF)      v(vout_RF_filt)
 0.00000000e+00  0.00000000e+00  3.30000000e+00  3.51531738e-01  0.00000000e+00 
 5.00000000e-13  3.30000000e-02  3.30000000e+00  3.51531772e-01  8.70748705e-11 
 1.00000000e-12  6.60000000e-02  3.30000000e+00  3.51531804e-01  1.68052450e-10 
 2.00000000e-12  1.32000000e-01  3.30000000e+00  3.51531862e-01  3.17487258e-10 
 4.00000000e-12  2.64000000e-01  3.30000000e+00  3.51531959e-01  5.63967908e-10 
 8.00000000e-12  5.28000000e-01  3.30000000e+00  3.51532111e-01  9.50324073e-10 
 1.44600227e-11  9.54361501e-01  3.30000000e+00  3.51532289e-01  1.39822669e-09 
 2.07101531e-11  1.36687011e+00  3.30000000e+00  3.51532393e-01  1.65725349e-09 
 2.68302700e-11  1.77079782e+00  3.30000000e+00  3.51532472e-01  1.85006151e-09 
 3.32643793e-11  2.19544903e+00  3.30000000e+00  3.51532545e-01  2.02750564e-09 
 4.13068067e-11  2.72624924e+00  3.30000000e+00  3.51532572e-01  2.08258450e-09 
 4.90290528e-11  3.23591749e+00  3.30000000e+00  3.51532593e-01  2.12321947e-09 
 5.00000000e-11  3.30000000e+00  3.30000000e+00  3.51532591e-01  2.11657923e-09 
 5.08772732e-11  3.30000000e+00  3.30000000e+00  3.51532535e-01  1.97451757e-09 
 5.26318196e-11  3.30000000e+00  3.30000000e+00  3.51532437e-01  1.72010538e-09 
 5.61409124e-11  3.30000000e+00  3.30000000e+00  3.51532295e-01  1.35373591e-09 
 6.14689430e-11  3.30000000e+00  3.30000000e+00  3.51532155e-01  9.91089841e-10 
 6.72379695e-11  3.30000000e+00  3.30000000e+00  3.51532064e-01  7.52613484e-10 
 7.47187480e-11  3.30000000e+00  3.30000000e+00  3.51531984e-01  5.46727981e-10 
 7.92279962e-11  3.30000000e+00  3.30000000e+00  3.51531943e-01  4.39916172e-10 
 8.47438906e-11  3.30000000e+00  3.30000000e+00  3.51531905e-01  3.39191979e-10 
 9.04164451e-11  3.30000000e+00  3.30000000e+00  3.51531880e-01  2.75221951e-10 
 9.71320336e-11  3.30000000e+00  3.30000000e+00  3.51531859e-01  2.19073749e-10 
 1.04150866e-10  3.30000000e+00  3.30000000e+00  3.51531839e-01  1.66839662e-10 
 1.17210637e-10  3.30000000e+00  3.30000000e+00  3.51531811e-01  9.58403502e-11 
 1.30858780e-10  3.30000000e+00  3.30000000e+00  3.51531792e-01  4.45816863e-11 
 1.53730277e-10  3.30000000e+00  3.30000000e+00  3.51531772e-01 -6.68947604e-12 
 1.81673514e-10  3.30000000e+00  3.30000000e+00  3.51531759e-01 -4.06179648e-11 
 2.22440514e-10  3.30000000e+00  3.30000000e+00  3.51531749e-01 -6.41595224e-11 
 2.69419641e-10  3.30000000e+00  3.30000000e+00  3.51531743e-01 -7.66889114e-11 
 3.16100454e-10  3.30000000e+00  3.30000000e+00  3.51531740e-01 -8.09116484e-11 
 3.65978324e-10  3.30000000e+00  3.30000000e+00  3.51531739e-01 -8.26997666e-11 
 4.26871960e-10  3.30000000e+00  3.30000000e+00  3.51531738e-01 -8.12925253e-11 
 4.97323985e-10  3.30000000e+00  3.30000000e+00  3.51531737e-01 -7.89932198e-11 
 5.82556763e-10  3.30000000e+00  3.30000000e+00  3.51531737e-01 -7.43342958e-11 
 6.82748144e-10  3.30000000e+00  3.30000000e+00  3.51531737e-01 -6.96251141e-11 
 8.08238167e-10  3.30000000e+00  3.30000000e+00  3.51531738e-01 -6.31967823e-11 
 9.65260890e-10  3.30000000e+00  3.30000000e+00  3.51531738e-01 -5.71313638e-11 
 1.17772112e-09  3.30000000e+00  3.30000000e+00  3.51531738e-01 -4.94985444e-11 
 1.47721939e-09  3.30000000e+00  3.30000000e+00  3.51531737e-01 -4.19231692e-11 
 1.62471875e-09  3.30000000e+00  3.30000000e+00  3.51531738e-01 -3.82478518e-11 
 1.63265287e-09  3.30000000e+00  3.30000000e+00  3.51531737e-01 -3.82838397e-11 
 1.64852110e-09  3.30000000e+00  3.30000000e+00  3.51531737e-01 -3.79702951e-11 
 1.68025758e-09  3.30000000e+00  3.30000000e+00  3.51531737e-01 -3.73123366e-11 
 1.74373053e-09  3.30000000e+00  3.30000000e+00  3.51531737e-01 -3.60751862e-11 
 1.87067643e-09  3.30000000e+00  3.30000000e+00  3.51531737e-01 -3.37181245e-11 
 1.96431059e-09  3.30000000e+00  3.30000000e+00  3.51531737e-01 -3.21222186e-11 
 2.02851532e-09  3.30000000e+00  3.30000000e+00  3.51531737e-01 -3.10641990e-11 
 2.07837271e-09  3.30000000e+00  3.30000000e+00  3.51531737e-01 -3.02913359e-11 
 2.11828378e-09  3.30000000e+00  3.30000000e+00  3.51531737e-01 -2.96715539e-11 
 2.16326052e-09  3.30000000e+00  3.30000000e+00  3.51531737e-01 -2.90127151e-11 
 2.19436351e-09  3.30000000e+00  3.30000000e+00  3.51531737e-01 -2.85521459e-11 
 2.21482074e-09  3.30000000e+00  3.30000000e+00  3.51531737e-01 -2.82687415e-11 
 2.24097899e-09  3.30000000e+00  3.30000000e+00  3.51531737e-01 -2.78927523e-11 
 2.26263295e-09  3.30000000e+00  3.30000000e+00  3.51531737e-01 -2.76001466e-11 
 2.28882388e-09  3.30000000e+00  3.30000000e+00  3.51531737e-01 -2.72356221e-11 
 2.34120573e-09  3.30000000e+00  3.30000000e+00  3.51531737e-01 -2.65444550e-11 
 2.42735664e-09  3.30000000e+00  3.30000000e+00  3.51531737e-01 -2.54383511e-11 
 2.50611681e-09  3.30000000e+00  3.30000000e+00  3.51531737e-01 -2.44896234e-11 
