time_us,clock,reset_n,enable,sram_0_out,inv1_dout1,inv1_dout2,inv1_dout3,inv1_dout4,inv2_vin1,inv2_vout1,inv2_vin2,inv2_vout2,counter2_value0,counter2_value1,counter2_value2,counter2_value3,counter2_value4,counter2_value5,counter2_value6,counter2_value7,counter1_value4_inv1_din1,counter1_value5_inv1_din2
0.000000000000000000e+00,0.000000000000000000e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199320029999999856e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.500000000000000000e-01,5.371730500000000408e-01,7.500000000000000000e-01,5.371730500000000408e-01,4.199320129999999888e-09,4.199320129999999888e-09,4.199320129999999888e-09,4.199320129999999888e-09,4.199320129999999888e-09,4.199320129999999888e-09,4.199320129999999888e-09,4.199320129999999888e-09,4.293885240000000247e-09,4.293885300000000101e-09
9.999999999999999547e-07,3.300000000000000155e-02,3.299999999999999822e+00,3.299999999999999822e+00,4.199315730000000139e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.500000129999999654e-01,5.371730500000000408e-01,7.500000249999999591e-01,5.371730500000000408e-01,4.199324269999999718e-09,4.199324269999999718e-09,4.199324269999999718e-09,4.199324269999999718e-09,4.199324269999999718e-09,4.199324269999999718e-09,4.199324269999999718e-09,4.199324269999999718e-09,4.293886150000000372e-09,4.293884030000000027e-09
1.999999999999999909e-06,6.600000000000000311e-02,3.299999999999999822e+00,3.299999999999999822e+00,4.199312139999999657e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.500000249999999591e-01,5.371730500000000408e-01,7.500000500000000292e-01,5.371730500000000408e-01,4.199330860000000330e-09,4.199330860000000330e-09,4.199330860000000330e-09,4.199330860000000330e-09,4.199330860000000330e-09,4.199330860000000330e-09,4.199330860000000330e-09,4.199330860000000330e-09,4.293886660000000369e-09,4.293880610000000095e-09
3.999999999999999819e-06,1.320000000000000062e-01,3.299999999999999822e+00,3.299999999999999822e+00,4.199321709999999895e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.500000500000000292e-01,5.371730500000000408e-01,7.500001010000000301e-01,5.371730500000000408e-01,4.199342600000000102e-09,4.199342600000000102e-09,4.199342600000000102e-09,4.199342600000000102e-09,4.199342600000000102e-09,4.199342600000000102e-09,4.199342600000000102e-09,4.199342600000000102e-09,4.293882149999999924e-09,4.293880589999999592e-09
7.999999999999999638e-06,2.640000000000000124e-01,3.299999999999999822e+00,3.299999999999999822e+00,4.199326480000000257e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.500001010000000301e-01,5.371730510000000125e-01,7.500002009999999775e-01,5.371730519999999842e-01,4.199341899999999879e-09,4.199341899999999879e-09,4.199341899999999879e-09,4.199341899999999879e-09,4.199341899999999879e-09,4.199341899999999879e-09,4.199341899999999879e-09,4.199341899999999879e-09,4.293873489999999810e-09,4.293880329999999674e-09
1.599999999999999928e-05,5.280000000000000249e-01,3.299999999999999822e+00,3.299999999999999822e+00,4.199325119999999989e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.500002009999999775e-01,5.371730519999999842e-01,7.500004019999999549e-01,5.371730550000000104e-01,4.199331809999999806e-09,4.199331809999999806e-09,4.199331809999999806e-09,4.199331809999999806e-09,4.199331809999999806e-09,4.199331809999999806e-09,4.199331809999999806e-09,4.199331809999999806e-09,4.293877600000000128e-09,4.293884869999999633e-09
3.199999999999999855e-05,1.056000000000000050e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199325229999999859e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.500004019999999549e-01,5.371730590000000083e-01,7.500008040000000209e-01,5.371730679999999758e-01,4.199315799999999831e-09,4.199315799999999831e-09,4.199315799999999831e-09,4.199315799999999831e-09,4.199315799999999831e-09,4.199315799999999831e-09,4.199315799999999831e-09,4.199315799999999831e-09,4.293884330000000122e-09,4.293888290000000392e-09
6.399999999999999710e-05,2.112000000000000099e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199324490000000285e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.500008040000000209e-01,5.371730749999999999e-01,7.500016080000000418e-01,5.371731010000000417e-01,4.199318230000000109e-09,4.199318230000000109e-09,4.199318230000000109e-09,4.199318230000000109e-09,4.199318230000000109e-09,4.199318230000000109e-09,4.199318230000000109e-09,4.199318230000000109e-09,4.293887590000000169e-09,4.293889399999999753e-09
1.000000000000000048e-04,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199321640000000204e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.500012569999999767e-01,5.371730890000000480e-01,7.500025129999999818e-01,5.371731290000000270e-01,4.199316829999999663e-09,4.199316829999999663e-09,4.199316829999999663e-09,4.199316829999999663e-09,4.199316829999999663e-09,4.199316829999999663e-09,4.199316829999999663e-09,4.199316829999999663e-09,4.293891730000000000e-09,4.293890500000000104e-09
1.063999999999999977e-04,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199318620000000399e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.500013370000000457e-01,5.371730909999999914e-01,7.500026739999999803e-01,5.371731320000000531e-01,4.199318719999999604e-09,4.199318719999999604e-09,4.199318719999999604e-09,4.199318719999999604e-09,4.199318719999999604e-09,4.199318719999999604e-09,4.199318719999999604e-09,4.199318719999999604e-09,4.293890479999999601e-09,4.293890219999999684e-09
1.192000000000000107e-04,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199323020000000147e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.500014980000000442e-01,5.371730930000000459e-01,7.500029959999999774e-01,5.371731360000000510e-01,4.199325389999999745e-09,4.199325389999999745e-09,4.199325389999999745e-09,4.199325389999999745e-09,4.199325389999999745e-09,4.199325389999999745e-09,4.199325389999999745e-09,4.199325389999999745e-09,4.293889899999999913e-09,4.293890430000000413e-09
1.447999999999999960e-04,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199320820000000273e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.500018200000000412e-01,5.371730869999999936e-01,7.500036389999999997e-01,5.371731250000000291e-01,4.199325570000000133e-09,4.199325570000000133e-09,4.199325570000000133e-09,4.199325570000000133e-09,4.199325570000000133e-09,4.199325570000000133e-09,4.199325570000000133e-09,4.199325570000000133e-09,4.293889409999999591e-09,4.293890330000000381e-09
1.959999999999999937e-04,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199318330000000141e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.500024629999999526e-01,5.371730300000000513e-01,7.500049260000000162e-01,5.371730099999999508e-01,4.199322069999999844e-09,4.199322069999999844e-09,4.199322069999999844e-09,4.199322069999999844e-09,4.199322069999999844e-09,4.199322069999999844e-09,4.199322069999999844e-09,4.199322069999999844e-09,4.293880689999999624e-09,4.293881990000000038e-09
2.984000000000000432e-04,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199321719999999733e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.500037499999999691e-01,5.371726519999999727e-01,7.500075000000000491e-01,5.371722549999999874e-01,4.199318449999999848e-09,4.199318449999999848e-09,4.199318449999999848e-09,4.199318449999999848e-09,4.199318449999999848e-09,4.199318449999999848e-09,4.199318449999999848e-09,4.199318449999999848e-09,4.293885969999999983e-09,4.293886310000000257e-09
5.031999999999999798e-04,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199325210000000184e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.500063230000000303e-01,5.371703970000000217e-01,7.500126470000000323e-01,5.371677449999999743e-01,4.199319929999999824e-09,4.199319929999999824e-09,4.199319929999999824e-09,4.199319929999999824e-09,4.199319929999999824e-09,4.199319929999999824e-09,4.199319929999999824e-09,4.199319929999999824e-09,4.293888350000000246e-09,4.293887600000000007e-09
7.800470660000000285e-04,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199319970000000002e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.500098020000000032e-01,5.371632699999999705e-01,7.500196049999999781e-01,5.371534919999999547e-01,4.199319190000000250e-09,4.199319190000000250e-09,4.199319190000000250e-09,4.199319190000000250e-09,4.199319190000000250e-09,4.199319190000000250e-09,4.199319190000000250e-09,4.199319190000000250e-09,4.293886420000000127e-09,4.293880860000000174e-09
1.333741199999999901e-03,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199318440000000011e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.500167599999999490e-01,5.371322800000000175e-01,7.500335209999999808e-01,5.370915120000000487e-01,4.199322279999999746e-09,4.199322279999999746e-09,4.199322279999999746e-09,4.199322279999999746e-09,4.199322279999999746e-09,4.199322279999999746e-09,4.199322279999999746e-09,4.199322279999999746e-09,4.293885300000000101e-09,4.293884869999999633e-09
1.960122270000000128e-03,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199320970000000321e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.500246320000000244e-01,5.370693650000000208e-01,7.500492629999999661e-01,5.369656830000000269e-01,4.199320610000000372e-09,4.199320610000000372e-09,4.199320610000000372e-09,4.199320610000000372e-09,4.199320610000000372e-09,4.199320610000000372e-09,4.199320610000000372e-09,4.199320610000000372e-09,4.293884890000000135e-09,4.293885400000000133e-09
2.053199999999999817e-03,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199319710000000085e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.500258010000000475e-01,5.370574919999999697e-01,7.500516019999999839e-01,5.369419370000000358e-01,4.199320970000000321e-09,4.199320970000000321e-09,4.199320970000000321e-09,4.199320970000000321e-09,4.199320970000000321e-09,4.199320970000000321e-09,4.199320970000000321e-09,4.199320970000000321e-09,4.293884060000000367e-09,4.293887659999999860e-09
2.178476209999999965e-03,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199321890000000283e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.500273760000000234e-01,5.370399249999999736e-01,7.500547509999999640e-01,5.369068059999999587e-01,1.397921519999999975e-08,4.199314629999999789e-09,4.199314629999999789e-09,4.199314629999999789e-09,4.199314629999999789e-09,4.199314629999999789e-09,4.199314629999999789e-09,4.199314629999999789e-09,4.293884139999999896e-09,4.293885150000000053e-09
2.429028639999999788e-03,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199316629999999599e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.500305240000000317e-01,5.370021390000000450e-01,7.500610479999999525e-01,5.368312360000000449e-01,-8.189176790000000015e-08,4.199321650000000041e-09,4.199321650000000041e-09,4.199321650000000041e-09,4.199321650000000041e-09,4.199321650000000041e-09,4.199321650000000041e-09,4.199321650000000041e-09,4.293883350000000306e-09,4.293884840000000120e-09
2.930133499999999867e-03,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199320959999999656e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.500368210000000202e-01,5.369146710000000100e-01,7.500736420000000404e-01,5.366563189999999928e-01,-2.251305509999999813e-06,4.199320029999999856e-09,4.199320029999999856e-09,4.199320029999999856e-09,4.199320029999999856e-09,4.199320029999999856e-09,4.199320029999999856e-09,4.199320029999999856e-09,4.293884170000000237e-09,4.293885860000000114e-09
